timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750777137405,362,ObtenerArtista,200,OK,PruebaHumoSpotify 1-3,text,true,,1535,312,4,4,https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai,362,0,122
1750777137468,345,ObtenerArtista,200,OK,PruebaHumoSpotify 1-1,text,true,,1520,312,4,4,https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C,345,0,117
1750777137468,359,ObtenerArtista,200,OK,PruebaHumoSpotify 1-4,text,true,,1525,312,4,4,https://api.spotify.com/v1/artists/64KEffDW9EtZ1y2vBYgq8T,359,0,117
1750777138652,315,TokenSpotify,200,OK,PruebaHumoSpotify 1-2,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,315,0,116
1750777138775,324,TokenSpotify,200,OK,PruebaHumoSpotify 1-3,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,324,0,120
1750777138839,303,TokenSpotify,200,OK,PruebaHumoSpotify 1-4,text,true,,973,340,4,4,https://accounts.spotify.com/api/token,303,0,120
1750777138821,325,TokenSpotify,200,OK,PruebaHumoSpotify 1-1,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,325,0,119
1750777139968,329,ObtenerArtista,200,OK,PruebaHumoSpotify 1-2,text,true,,1516,312,4,4,https://api.spotify.com/v1/artists/4NHQUGzhtTLFvgF5SZesLK,329,0,113
1750777140100,348,ObtenerArtista,200,OK,PruebaHumoSpotify 1-3,text,true,,1518,312,4,4,https://api.spotify.com/v1/artists/3AA28KZvwAUcZuOKwyblJQ,348,0,118
1750777140152,338,ObtenerArtista,200,OK,PruebaHumoSpotify 1-1,text,true,,1518,312,4,4,https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU,338,0,114
